iter	Passed	Remaining
272	568	1514
273	570	1512
274	572	1510
275	574	1507
276	576	1505
277	578	1503
278	580	1499
279	581	1496
280	583	1492
281	584	1488
282	586	1485
283	588	1482
284	589	1478
285	591	1476
286	594	1477
287	597	1476
288	599	1474
289	602	1474
290	604	1471
291	607	1473
292	610	1472
293	622	1495
294	626	1497
295	628	1495
296	630	1492
297	632	1489
298	633	1485
299	635	1481
300	636	1477
301	638	1475
302	639	1471
303	641	1467
304	642	1463
305	643	1460
306	645	1456
307	646	1453
308	648	1449
309	649	1445
310	650	1442
311	652	1439
312	654	1435
313	655	1432
314	657	1429
315	658	1426
316	662	1427
317	664	1424
318	665	1421
319	667	1418
320	669	1416
321	670	1412
322	672	1409
323	673	1406
324	675	1402
325	676	1399
326	678	1396
327	679	1392
328	681	1389
329	683	1387
330	684	1384
331	686	1380
332	687	1376
333	688	1372
334	689	1369
335	690	1365
336	692	1361
337	693	1358
338	695	1356
339	697	1353
340	698	1350
341	699	1346
342	701	1342
343	702	1339
344	703	1336
345	705	1333
346	706	1329
347	707	1326
348	709	1322
349	710	1320
350	712	1317
351	713	1314
352	715	1311
353	716	1307
354	718	1304
355	719	1301
356	720	1298
357	722	1295
358	723	1291
359	725	1290
360	727	1287
361	728	1283
362	729	1280
363	730	1277
364	732	1274
365	733	1270
366	734	1267
367	735	1263
368	737	1260
369	738	1257
370	739	1254
371	741	1251
372	742	1248
373	744	1245
374	746	1244
375	753	1249
376	754	1246
377	755	1243
378	758	1242
379	759	1239
380	761	1236
381	762	1233
382	764	1231
383	765	1228
384	767	1225
385	768	1222
386	770	1220
387	772	1218
388	773	1215
389	775	1212
390	776	1209
391	777	1206
392	779	1203
393	781	1201
394	782	1198
395	784	1196
396	787	1196
397	789	1193
398	790	1190
399	791	1187
400	793	1184
401	794	1181
402	795	1178
403	797	1175
404	798	1172
405	799	1170
406	801	1167
407	802	1164
408	803	1161
409	805	1158
410	806	1155
411	807	1152
412	809	1150
413	810	1147
414	811	1143
415	812	1140
416	813	1137
417	815	1135
418	816	1132
419	817	1129
420	819	1126
421	820	1123
422	821	1120
423	823	1118
424	824	1115
425	825	1112
426	826	1109
427	828	1107
428	830	1105
429	832	1102
430	833	1100
431	834	1097
432	836	1094
433	837	1091
434	838	1088
435	839	1085
436	840	1083
437	841	1080
438	843	1077
439	844	1075
440	846	1072
441	847	1069
442	848	1067
443	850	1064
444	851	1061
445	852	1058
446	853	1056
447	855	1053
448	856	1050
449	857	1047
450	858	1045
451	860	1042
452	861	1040
453	862	1037
454	863	1034
